V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
284.276	283.698	283.194	282.755	282.375	282.048	281.766	281.527	281.326	281.159	281.024	280.919	280.842	280.791	280.765
291.070	289.710	288.524	287.494	286.600	285.829	285.168	284.606	284.132	283.740	283.423	283.175	282.993	282.873	282.814
292.611	291.074	289.734	288.569	287.559	286.687	285.940	285.304	284.769	284.326	283.967	283.687	283.481	283.346	283.279
293.936	292.247	290.774	289.493	288.383	287.425	286.603	285.904	285.316	284.829	284.435	284.127	283.901	283.752	283.678
285.194	284.510	283.914	283.395	282.946	282.559	282.226	281.943	281.705	281.508	281.348	281.224	281.132	281.072	281.042
285.545	284.820	284.189	283.640	283.164	282.754	282.402	282.102	281.850	281.641	281.472	281.340	281.243	281.180	281.148
286.326	285.512	284.802	284.185	283.650	283.189	282.793	282.456	282.173	281.938	281.748	281.600	281.491	281.419	281.384
286.213	285.412	284.713	284.106	283.580	283.126	282.736	282.405	282.126	281.895	281.708	281.562	281.455	281.384	281.349
281.910	281.604	281.338	281.106	280.904	280.731	280.582	280.455	280.349	280.261	280.189	280.134	280.093	280.066	280.052
280.489	280.346	280.222	280.114	280.020	279.939	279.870	279.811	279.762	279.721	279.687	279.661	279.642	279.630	279.623
280.174	280.067	279.975	279.894	279.824	279.764	279.712	279.668	279.631	279.601	279.576	279.557	279.542	279.533	279.528
282.250	281.905	281.604	281.342	281.116	280.920	280.752	280.609	280.489	280.390	280.309	280.246	280.200	280.170	280.155
284.175	283.608	283.114	282.685	282.313	281.991	281.716	281.481	281.284	281.121	280.989	280.886	280.810	280.760	280.735
284.636	284.016	283.476	283.006	282.599	282.248	281.947	281.690	281.475	281.296	281.151	281.039	280.956	280.901	280.874
285.765	285.015	284.362	283.794	283.301	282.876	282.512	282.202	281.941	281.725	281.550	281.414	281.313	281.247	281.214
286.692	285.836	285.090	284.441	283.878	283.393	282.976	282.622	282.324	282.077	281.878	281.722	281.607	281.532	281.494
287.506	286.556	285.728	285.008	284.384	283.846	283.384	282.991	282.660	282.386	282.165	281.992	281.865	281.781	281.739
289.220	288.073	287.073	286.204	285.450	284.800	284.242	283.767	283.368	283.038	282.770	282.561	282.407	282.306	282.256
289.077	287.947	286.961	286.104	285.361	284.720	284.170	283.703	283.309	282.983	282.720	282.514	282.362	282.263	282.213
285.053	284.386	283.804	283.298	282.859	282.480	282.156	281.880	281.647	281.455	281.299	281.177	281.088	281.029	281.000
286.002	285.225	284.548	283.959	283.449	283.009	282.631	282.309	282.039	281.815	281.634	281.492	281.388	281.320	281.286
287.435	286.493	285.672	284.958	284.340	283.806	283.348	282.958	282.631	282.359	282.140	281.968	281.842	281.759	281.718
288.210	287.179	286.281	285.499	284.822	284.238	283.736	283.310	282.951	282.654	282.413	282.226	282.088	281.997	281.952
290.453	289.164	288.041	287.064	286.217	285.486	284.859	284.326	283.877	283.506	283.205	282.971	282.798	282.684	282.628
291.717	290.283	289.033	287.946	287.003	286.190	285.492	284.899	284.400	283.986	283.652	283.391	283.198	283.072	283.009
291.849	290.400	289.136	288.037	287.085	286.263	285.558	284.959	284.454	284.036	283.698	283.434	283.240	283.112	283.049
288.873	287.766	286.801	285.961	285.234	284.606	284.068	283.610	283.225	282.906	282.647	282.446	282.297	282.200	282.152
288.725	287.635	286.685	285.858	285.142	284.524	283.994	283.543	283.164	282.849	282.595	282.397	282.251	282.155	282.107
288.817	287.717	286.757	285.923	285.200	284.576	284.040	283.585	283.202	282.885	282.628	282.427	282.280	282.183	282.135
291.822	290.376	289.115	288.018	287.068	286.248	285.545	284.946	284.443	284.026	283.689	283.425	283.231	283.104	283.041
294.197	292.477	290.978	289.675	288.545	287.570	286.734	286.022	285.424	284.928	284.527	284.214	283.984	283.832	283.757
287.867	286.876	286.012	285.260	284.609	284.047	283.565	283.154	282.809	282.524	282.292	282.112	281.979	281.892	281.848
289.197	288.053	287.055	286.188	285.436	284.787	284.230	283.757	283.359	283.029	282.762	282.553	282.400	282.299	282.249
288.772	287.677	286.722	285.891	285.172	284.550	284.018	283.565	283.183	282.867	282.612	282.412	282.266	282.169	282.121
292.122	290.641	289.350	288.228	287.255	286.415	285.695	285.082	284.567	284.140	283.795	283.525	283.327	283.196	283.131
296.904	294.873	293.103	291.563	290.229	289.077	288.089	287.249	286.542	285.957	285.483	285.113	284.841	284.662	284.573
302.369	299.709	297.391	295.375	293.627	292.119	290.826	289.725	288.799	288.033	287.412	286.928	286.572	286.337	286.221
297.307	295.230	293.419	291.844	290.479	289.302	288.291	287.432	286.709	286.110	285.625	285.247	284.969	284.786	284.695
294.232	292.508	291.006	289.699	288.567	287.590	286.751	286.038	285.438	284.941	284.539	284.226	283.995	283.843	283.768
292.958	291.381	290.007	288.811	287.775	286.881	286.114	285.461	284.912	284.458	284.090	283.803	283.591	283.452	283.384
290.867	289.530	288.365	287.352	286.474	285.717	285.067	284.514	284.048	283.663	283.351	283.108	282.929	282.811	282.753
288.973	287.855	286.880	286.032	285.297	284.662	284.119	283.656	283.266	282.944	282.683	282.479	282.329	282.231	282.182
286.439	285.612	284.891	284.264	283.721	283.252	282.850	282.507	282.219	281.981	281.788	281.638	281.527	281.454	281.418
285.112	284.438	283.850	283.339	282.896	282.513	282.185	281.906	281.671	281.477	281.320	281.197	281.107	281.047	281.018
285.563	284.837	284.204	283.653	283.176	282.764	282.411	282.111	281.858	281.648	281.479	281.347	281.249	281.185	281.154
286.290	285.480	284.774	284.160	283.628	283.169	282.775	282.440	282.158	281.924	281.735	281.588	281.479	281.408	281.373
286.779	285.913	285.158	284.501	283.932	283.441	283.020	282.661	282.360	282.110	281.908	281.750	281.634	281.558	281.520
284.761	284.127	283.574	283.094	282.677	282.318	282.009	281.747	281.526	281.344	281.196	281.080	280.995	280.940	280.912
291.744	290.306	289.053	287.964	287.019	286.205	285.506	284.911	284.411	283.996	283.661	283.399	283.207	283.080	283.017
291.039	289.683	288.500	287.472	286.581	285.812	285.153	284.591	284.119	283.728	283.412	283.165	282.983	282.864	282.805
293.225	291.618	290.216	288.997	287.941	287.029	286.247	285.582	285.023	284.559	284.184	283.891	283.676	283.534	283.464
293.432	291.800	290.378	289.141	288.069	287.144	286.351	285.676	285.108	284.638	284.257	283.960	283.741	283.598	283.526
