V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
285.944	285.101	284.366	283.727	283.173	282.695	282.285	281.936	281.643	281.400	281.203	281.050	280.937	280.862	280.826
287.838	286.777	285.852	285.048	284.351	283.749	283.234	282.795	282.425	282.119	281.872	281.679	281.537	281.443	281.397
287.333	286.330	285.456	284.696	284.037	283.468	282.981	282.566	282.217	281.928	281.694	281.511	281.377	281.288	281.245
287.396	286.386	285.506	284.740	284.076	283.504	283.012	282.594	282.243	281.952	281.716	281.532	281.397	281.308	281.264
287.769	286.716	285.798	285.000	284.308	283.711	283.199	282.763	282.397	282.093	281.848	281.656	281.515	281.422	281.376
288.086	286.997	286.047	285.221	284.505	283.887	283.358	282.907	282.528	282.214	281.959	281.761	281.615	281.519	281.472
287.684	286.641	285.732	284.941	284.255	283.664	283.157	282.725	282.362	282.061	281.818	281.628	281.488	281.396	281.350
286.964	286.004	285.167	284.439	283.808	283.263	282.796	282.399	282.064	281.787	281.563	281.389	281.260	281.175	281.133
286.131	285.267	284.513	283.858	283.289	282.799	282.379	282.021	281.720	281.471	281.269	281.112	280.996	280.920	280.882
286.187	285.316	284.557	283.896	283.324	282.830	282.407	282.046	281.743	281.492	281.289	281.130	281.014	280.937	280.899
286.035	285.182	284.438	283.791	283.230	282.746	282.331	281.978	281.680	281.434	281.235	281.080	280.966	280.890	280.853
286.115	285.252	284.500	283.846	283.279	282.790	282.371	282.014	281.713	281.465	281.264	281.106	280.991	280.915	280.877
285.152	284.400	283.744	283.174	282.680	282.254	281.888	281.577	281.316	281.099	280.923	280.787	280.686	280.620	280.587
286.527	285.617	284.824	284.134	283.536	283.020	282.577	282.201	281.884	281.621	281.409	281.243	281.122	281.041	281.002
288.389	287.265	286.285	285.432	284.694	284.056	283.509	283.044	282.653	282.329	282.066	281.862	281.711	281.612	281.563
287.799	286.742	285.821	285.021	284.327	283.728	283.214	282.777	282.409	282.104	281.858	281.666	281.524	281.431	281.385
287.134	286.154	285.300	284.557	283.913	283.357	282.881	282.475	282.134	281.852	281.623	281.445	281.314	281.227	281.184
285.740	284.921	284.206	283.585	283.046	282.582	282.183	281.844	281.559	281.323	281.131	280.982	280.872	280.800	280.764
286.540	285.628	284.834	284.143	283.544	283.027	282.584	282.206	281.889	281.626	281.414	281.248	281.125	281.045	281.005
286.975	286.014	285.175	284.446	283.815	283.269	282.802	282.404	282.069	281.792	281.567	281.392	281.263	281.179	281.137
288.025	286.943	285.999	285.178	284.467	283.853	283.327	282.879	282.502	282.190	281.938	281.741	281.596	281.500	281.453
287.711	286.665	285.753	284.960	284.272	283.679	283.170	282.737	282.373	282.071	281.827	281.637	281.496	281.404	281.359
287.983	286.905	285.966	285.149	284.441	283.830	283.306	282.860	282.485	282.174	281.923	281.727	281.582	281.488	281.440
288.057	286.971	286.024	285.201	284.487	283.871	283.343	282.894	282.516	282.203	281.949	281.751	281.606	281.510	281.463
