V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
282.373	281.315	280.393	279.591	278.896	278.297	277.782	277.344	276.976	276.671	276.425	276.232	276.090	275.997	275.951
281.581	280.614	279.771	279.039	278.403	277.855	277.385	276.985	276.649	276.370	276.145	275.969	275.839	275.754	275.712
281.354	280.414	279.594	278.881	278.263	277.729	277.272	276.883	276.555	276.284	276.065	275.894	275.768	275.685	275.644
283.505	282.317	281.282	280.381	279.600	278.927	278.349	277.857	277.444	277.101	276.824	276.608	276.449	276.344	276.292
287.354	285.724	284.302	283.066	281.994	281.069	280.276	279.602	279.034	278.564	278.183	277.886	277.668	277.524	277.453
286.449	284.922	283.591	282.434	281.431	280.565	279.823	279.191	278.660	278.220	277.864	277.586	277.381	277.246	277.180
287.029	285.436	284.047	282.839	281.792	280.888	280.114	279.454	278.900	278.440	278.068	277.778	277.565	277.424	277.355
285.656	284.221	282.969	281.881	280.938	280.124	279.426	278.832	278.332	277.919	277.584	277.322	277.130	277.004	276.941
282.713	281.616	280.660	279.828	279.107	278.486	277.952	277.498	277.117	276.800	276.544	276.345	276.198	276.101	276.053
283.732	282.518	281.459	280.539	279.741	279.053	278.462	277.960	277.537	277.187	276.904	276.683	276.520	276.414	276.360
282.373	281.315	280.393	279.591	278.896	278.297	277.782	277.344	276.976	276.671	276.425	276.232	276.090	275.997	275.951
286.336	284.822	283.502	282.355	281.360	280.502	279.766	279.140	278.613	278.177	277.824	277.548	277.345	277.212	277.146
287.694	286.024	284.568	283.302	282.205	281.258	280.446	279.755	279.174	278.693	278.303	277.999	277.775	277.628	277.555
287.921	286.225	284.746	283.460	282.346	281.385	280.560	279.858	279.268	278.779	278.383	278.074	277.847	277.698	277.624
283.505	282.317	281.282	280.381	279.600	278.927	278.349	277.857	277.444	277.101	276.824	276.608	276.449	276.344	276.292
284.332	283.049	281.930	280.958	280.115	279.387	278.763	278.232	277.785	277.416	277.116	276.883	276.711	276.598	276.542
283.505	282.317	281.282	280.381	279.600	278.927	278.349	277.857	277.444	277.101	276.824	276.608	276.449	276.344	276.292
288.128	286.408	284.909	283.605	282.475	281.500	280.663	279.952	279.353	278.857	278.456	278.143	277.913	277.761	277.686
286.525	284.990	283.651	282.487	281.478	280.608	279.861	279.226	278.691	278.249	277.890	277.611	277.405	277.270	277.203
287.468	285.824	284.391	283.145	282.064	281.132	280.333	279.653	279.081	278.607	278.223	277.924	277.704	277.559	277.487
289.845	287.928	286.256	284.803	283.543	282.456	281.523	280.730	280.063	279.510	279.063	278.713	278.457	278.288	278.204
290.581	288.579	286.833	285.316	284.000	282.865	281.892	281.063	280.366	279.789	279.322	278.958	278.690	278.513	278.426
291.476	289.371	287.536	285.940	284.557	283.363	282.340	281.469	280.736	280.129	279.638	279.255	278.973	278.787	278.696
287.015	285.423	284.035	282.829	281.783	280.880	280.106	279.448	278.894	278.435	278.063	277.774	277.560	277.420	277.350
283.392	282.217	281.193	280.302	279.530	278.864	278.292	277.806	277.397	277.058	276.784	276.570	276.413	276.309	276.258
282.846	281.734	280.764	279.921	279.190	278.560	278.019	277.559	277.172	276.851	276.591	276.389	276.240	276.142	276.093
282.147	281.115	280.216	279.433	278.755	278.171	277.669	277.242	276.883	276.585	276.345	276.157	276.019	275.928	275.883
