survey_year	n_nh4	type
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.698000000	Measured
2021	0.100000000	Measured
2021	0.382000000	Measured
2021	0.015000000	Measured
2021	0.100000000	Measured
2021	0.063000000	Measured
2021	0.051000000	Measured
2021	0.100000000	Measured
2021	0.808000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.010000000	Measured
2021	0.035000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.057000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.013000000	Measured
2021	0.020000000	Measured
2021	0.100000000	Measured
2021	0.024000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.079000000	Measured
2021	0.100000000	Measured
2021	0.100000000	Measured
2021	0.014000000	Measured
2021	         NA	Measured
2021	0.100000000	Measured
2022	0.100000000	Measured
2022	0.025000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.016000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.029000000	Measured
2022	0.100000000	Measured
2022	0.163000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.035000000	Measured
2022	0.020000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.032000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.043000000	Measured
2022	0.100000000	Measured
2022	0.017000000	Measured
2022	0.023000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.032000000	Measured
2022	         NA	Measured
2022	         NA	Measured
2022	0.100000000	Measured
2022	         NA	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	         NA	Measured
2022	         NA	Measured
2022	         NA	Measured
2022	0.100000000	Measured
2022	0.734000000	Measured
2022	0.100000000	Measured
2022	0.537000000	Measured
2022	0.100000000	Measured
2022	0.018000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.010000000	Measured
2022	0.100000000	Measured
2022	0.100000000	Measured
2022	0.028000000	Measured
2022	0.113000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.061000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.022000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.009000000	Measured
2023	0.100000000	Measured
2023	0.004000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
2023	0.014000000	Measured
2023	0.100000000	Measured
2023	0.100000000	Measured
