survey_year	n_no3	type
2021	 0.050000	Measured
2021	 0.206000	Measured
2021	       NA	Measured
2021	 0.035000	Measured
2021	 0.058000	Measured
2021	13.695000	Measured
2021	-1.000000	Measured
2021	20.410000	Measured
2021	 2.071000	Measured
2021	 6.437000	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	       NA	Measured
2021	 0.056000	Measured
2021	 0.031000	Measured
2021	 0.242000	Measured
2021	 0.053000	Measured
2021	       NA	Measured
2021	 6.870000	Measured
2021	-1.000000	Measured
2021	 0.148000	Measured
2021	       NA	Measured
2021	 0.010000	Measured
2022	 6.470000	Measured
2022	 2.000000	Measured
2022	 0.264000	Measured
2022	 0.149000	Measured
2022	 0.068000	Measured
2022	 0.431000	Measured
2022	 6.230000	Measured
2022	 0.752000	Measured
2022	-1.000000	Measured
2022	 0.128000	Measured
2022	 0.329000	Measured
2022	 1.125000	Measured
2022	 0.012000	Measured
2022	25.180000	Measured
2022	 7.937000	Measured
2022	 0.009000	Measured
2022	 0.005000	Measured
2022	 0.066000	Measured
2022	 0.020000	Measured
2022	 2.678000	Measured
2022	 0.007000	Measured
2022	-1.000000	Measured
2022	 2.282000	Measured
2022	 1.572000	Measured
2022	 0.175000	Measured
2022	-1.000000	Measured
2022	 0.063000	Measured
2022	10.160000	Measured
2022	 0.004000	Measured
2022	 5.700000	Measured
2022	 0.018000	Measured
2022	 0.185000	Measured
2022	-1.000000	Measured
2022	 0.842000	Measured
2022	-1.000000	Measured
2022	-1.000000	Measured
2022	-1.000000	Measured
2022	 8.325000	Measured
2022	 0.323000	Measured
2022	12.520000	Measured
2022	 0.008000	Measured
2022	 0.019000	Measured
2022	 0.141000	Measured
2022	 0.020000	Measured
2022	 0.005000	Measured
2022	 0.453000	Measured
2022	 7.850000	Measured
2022	 0.005000	Measured
2022	-1.000000	Measured
2022	-1.000000	Measured
2022	 0.035000	Measured
2022	       NA	Measured
2022	       NA	Measured
2022	 0.452000	Measured
2022	       NA	Measured
2022	-1.000000	Measured
2022	 0.016000	Measured
2022	       NA	Measured
2022	       NA	Measured
2022	       NA	Measured
2022	-1.000000	Measured
2022	 0.021000	Measured
2022	 0.079000	Measured
2022	 0.007000	Measured
2022	 0.010000	Measured
2022	 0.020000	Measured
2022	 8.817000	Measured
2022	       NA	Measured
2022	 0.035000	Measured
2022	-1.000000	Measured
2022	 0.027000	Measured
2022	 7.907000	Measured
2022	 0.028000	Measured
2022	 4.650000	Measured
2023	-1.000000	Measured
2023	 2.182000	Measured
2023	 0.028000	Measured
2023	 0.016000	Measured
2023	-1.000000	Measured
2023	31.900000	Measured
2023	       NA	Measured
2023	 0.003000	Measured
2023	 4.302000	Measured
2023	-1.000000	Measured
2023	 2.327000	Measured
2023	 2.166000	Measured
2023	 1.510000	Measured
2023	-1.000000	Measured
2023	 1.005000	Measured
2023	 3.762000	Measured
2023	 5.085000	Measured
2023	 0.111000	Measured
2023	 5.810000	Measured
2023	 0.005000	Measured
2023	-1.000000	Measured
2023	 0.047000	Measured
2023	 1.023000	Measured
2023	 0.241000	Measured
2023	 0.143000	Measured
2023	-1.000000	Measured
2023	 1.990000	Measured
2023	 0.080000	Measured
2023	 0.074000	Measured
2023	 4.099000	Measured
2023	 0.060000	Measured
2023	       NA	Measured
2023	 2.517000	Measured
2023	 4.761000	Measured
2023	 3.690000	Measured
2023	 4.028000	Measured
2023	-1.000000	Measured
2023	 0.017000	Measured
2023	 0.102000	Measured
2023	 0.006000	Measured
2023	 5.979000	Measured
2023	 0.138000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 1.851000	Measured
2023	-1.000000	Measured
2023	 0.005000	Measured
2023	 2.963000	Measured
2023	-1.000000	Measured
2023	 0.009000	Measured
2023	 0.014000	Measured
2023	 0.933000	Measured
2023	 3.493000	Measured
2023	 0.864000	Measured
2023	-1.000000	Measured
2023	 3.036000	Measured
2023	 0.198000	Measured
2023	-1.000000	Measured
2023	 0.009000	Measured
2023	 1.475000	Measured
2023	 1.424000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 9.040000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.007000	Measured
2023	 0.022000	Measured
2023	 0.792000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.015000	Measured
2023	 0.058000	Measured
2023	 1.466000	Measured
2023	 0.540000	Measured
2023	 0.004000	Measured
2023	 0.757000	Measured
2023	-1.000000	Measured
2023	 2.521000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.009000	Measured
2023	 0.128000	Measured
2023	-1.000000	Measured
2023	 0.210000	Measured
2023	       NA	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	       NA	Measured
2023	-1.000000	Measured
2023	 2.418000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 2.180000	Measured
2023	       NA	Measured
2023	-1.000000	Measured
2023	 2.070000	Measured
2023	 0.008000	Measured
2023	       NA	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.017000	Measured
2023	 2.076000	Measured
2023	-1.000000	Measured
2023	 3.393000	Measured
2023	 0.030000	Measured
2023	 0.064000	Measured
2023	 0.021000	Measured
2023	 2.435000	Measured
2023	 0.013000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.004000	Measured
2023	 8.925000	Measured
2023	 0.910000	Measured
2023	 2.437000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 2.910000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 1.683000	Measured
2023	 1.577000	Measured
2023	 6.634000	Measured
2023	 0.026000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.075000	Measured
2023	 5.531000	Measured
2023	 0.008000	Measured
2023	 2.304000	Measured
2023	-1.000000	Measured
2023	 0.115000	Measured
2023	 0.006000	Measured
2023	-1.000000	Measured
2023	 0.557000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.007000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 1.516000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.020000	Measured
2023	       NA	Measured
2023	 0.758000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.330000	Measured
2023	 0.025000	Measured
2023	-1.000000	Measured
2023	 0.025000	Measured
2023	 0.100000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.150000	Measured
2023	 0.004000	Measured
2023	-1.000000	Measured
2023	 1.238000	Measured
2023	 0.263000	Measured
2023	 0.010000	Measured
2023	-1.000000	Measured
2023	 0.052000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.670000	Measured
2023	-1.000000	Measured
2023	 0.006000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 6.370000	Measured
2023	 0.335000	Measured
2023	-1.000000	Measured
2023	-1.000000	Measured
2023	 0.724000	Measured
2013	 1.518548	Simulated
2013	 1.399142	Simulated
2013	 1.374689	Simulated
2013	 1.329741	Simulated
2013	 1.287313	Simulated
2013	 1.252209	Simulated
2013	 1.970850	Simulated
2013	 1.803304	Simulated
2013	 1.728481	Simulated
2013	 1.670365	Simulated
2013	 1.653179	Simulated
2013	 1.622506	Simulated
2013	 1.605009	Simulated
2013	 1.590305	Simulated
2013	 1.583614	Simulated
2013	 1.586109	Simulated
2013	 1.595467	Simulated
